"","LDN-1","LDN-2","LDN-3","LDN-4","LDN-5","LDN-6","LDN-7","LDN-8","LDN-9","LDN-10","LDN-11"
"BAP1",6.983273209,6.666688222,6.537849635,7.072469707,6.612046207,6.360407775,7.219602052,6.874243865,6.986379673,6.583693533,6.906698085
"BARD1",6.676817254,5.582815643,5.797286745,5.733980978,6.039671707,6.181608024,6.853180905,5.960832147,5.796809852,5.758236843,5.268445266
"BAX",6.389131854,7.022979769,7.027285497,6.627513321,6.876107545,6.252819703,6.709499176,6.506685345,6.584644367,7.079192879,7.348500342
"BAZ1B",8.111667222,8.184504933,8.277910899,8.128520484,8.2413256,8.113609443,8.25016377,8.086339556,8.469466617,8.043128828,7.762432054
"BBOX1",9.322588064,9.930386833,9.753644541,9.982531038,9.400059546,6.811301266,10.10229891,8.806432018,9.853545831,7.440129354,8.299454989
"BCAP31",11.12956435,11.22684502,11.34185592,10.99054973,11.06038599,10.93964101,11.19241826,11.79504199,11.15156708,11.44081333,11.5199346
"BCHE",11.67278258,11.50088269,11.47569489,11.8813701,11.85731391,11.25282947,11.94402048,10.43643651,11.18947982,10.77086209,10.77584532
"BCL2L1",10.61041214,10.47909061,10.34068522,9.941936302,10.63070834,10.51032271,10.5229167,9.736099766,10.53112689,10.28023172,10.10552914
"BCO2",5.188241095,5.184639548,4.898504578,4.763120852,4.7426769,4.781098813,4.820372094,5.088237098,5.217177351,4.712989001,4.626794327
"BDH2",5.276045987,5.688680514,4.634251259,4.726949361,5.052096397,4.827188603,4.922217654,4.734603261,5.0458892,5.108352445,5.157870967
"BDP1",5.483174905,5.030757685,4.837632716,5.291691911,5.643447558,5.483174905,5.400213345,5.63915113,5.173798514,5.004247712,5.27634763
"BEST1",5.423799553,5.196289362,5.678658725,5.507026303,4.955642244,5.348210309,5.36435576,5.086897095,5.14780117,5.374649817,4.870292463
"BHLHE40",11.66472576,11.53624726,10.88990602,11.63275899,10.51550757,11.77795741,10.9367143,12.53645923,10.48718209,11.76327093,10.92233866
"BHMT",13.18040021,12.40610841,12.4895645,12.8611496,12.70396736,12.30905425,13.55543357,12.72829716,12.12605687,11.68838468,12.28540314
"BIRC5",5.324354548,5.273103292,5.530932868,4.771163144,4.68411499,4.71202608,4.661581341,4.981769784,4.735364114,4.882587912,5.324022951
