E2F1,FPR1
E2F1,FUS
E2F1,FZD10
E2F1,GCHFR
E2F1,GINS3
E2F1,GPAA1
E2F1,GTF3C2
E2F1,HAT1
E2F1,HELLS
E2F1,HLTF
E2F1,HNRNPK
E2F1,HPS4
E2F1,HSDL1
E2F1,HSPA14
E2F1,IGF2
E2F1,IGFBP3
E2F1,IRF3
E2F1,ISYNA1
E2F1,ITIH1
E2F1,KDM6A
E2F1,KIAA1143
E2F1,KIF2C
E2F1,KIF4A
E2F1,LBR
E2F1,LHX2
E2F1,LMNB1
E2F1,LNPEP
E2F1,LRR1
E2F1,LRRC1
E2F1,LRRC4C
E2F1,LSM2
E2F1,MANEAL
E2F1,MAP7
E2F1,MBNL3
E2F1,MCM2
E2F1,MCM3
E2F1,MCM8
E2F1,MEFV
E2F1,MRPL24
E2F1,MT1G
E2F1,MT1X
E2F1,MYC
E2F1,MZT1
E2F1,N4BP2L1
E2F1,NCBP2
E2F1,NCOA6
E2F1,NEK2
E2F1,NOX4
E2F1,NPC1
E2F1,NPY1R
E2F1,NR2C2AP
E2F1,NSF
E2F1,NSFL1C
E2F1,NUP153
E2F1,NUP155
E2F1,OLFML3
E2F1,PARP12
E2F1,PBK
E2F1,PCGF6
E2F1,PDCL
E2F1,PHF20
E2F1,PIGU
E2F1,POLA1
E2F1,PPM1G
E2F1,PRIM2
E2F1,PTBP1
E2F1,PTBP3
E2F1,PTPRB
E2F1,PYGO2
E2F1,RACGAP1
E2F1,RANGRF
E2F1,RBMX2
E2F1,RCC2
E2F1,RDH16
E2F1,RFC1
E2F1,RFC3
E2F1,RPL10A
E2F1,RPL15
E2F1,RPL29
E2F1,RPLP2
E2F1,RPS6KB1
E2F1,RRM1
E2F1,SAMD11
E2F1,SCML2
E2F1,SDC1
E2F1,SEPHS1
E2F1,SETD2
E2F1,SHB
E2F1,SLC25A20
E2F1,SLC25A37
E2F1,SLC28A1
E2F1,SLC2A3
E2F1,SMARCA4
E2F1,SMC1A
E2F1,SMC4
E2F1,SNAPIN
E2F1,SNHG6
E2F1,SPRY2
E2F1,STAM
E2F1,STIL
E2F1,TAF4
E2F1,TBC1D13
E2F1,THOC6
E2F1,TIMELESS
E2F1,TK1
E2F1,TMEM53
E2F1,TOP2A
E2F1,TRIM24
E2F1,TTL
E2F1,TUBA1B
E2F1,TUBG1
E2F1,UBAP2
E2F1,UHRF1
E2F1,VPS35
E2F1,WNT1
E2F1,WNT5A
E2F1,WNT9A
E2F1,WRAP73
E2F1,YBX1
E2F1,ZMYM1
E2F1,ZMYND19
E2F2,ACSL1
E2F2,ACTR6
E2F2,AGBL5
E2F2,AP1S1
E2F2,APIP
E2F2,ARHGAP11A
E2F2,ARID1A
E2F2,ARID3B
E2F2,ARL6IP6
E2F2,ARSJ
E2F2,BAP1
E2F2,BMPR1B
E2F2,BROX
E2F2,C11orf54
E2F2,CA2
E2F2,CAPRIN1
E2F2,CBX1
E2F2,CCNE1
E2F2,CCNE2
E2F2,CCT3
E2F2,CDCA3
E2F2,CDCA7
E2F2,CENPM
