"","from","to"
"872","ELK1","ZNF581"
"873","MAPK3","ZNF7"
"874","ALDOB","FBP1"
"875","ALDH2","ADH1B"
"876","ALDH2","ADH1C"
"877","ALDH2","ADH4"
"878","ALDH2","BBOX1"
"879","ALDH2","AKR1B10"
"880","ALDH2","ACYP1"
"881","ALDH1B1","ACYP1"
"882","SDHB","SUCLG2"
"883","SDHD","SUCLG2"
"884","MMUT","SUCLG2"
"885","MYC","SUCLG2"
"886","HSF2","SUCLG2"
"887","TKT","RPIA"
"888","UGP2","PGM1"
"889","UGP2","GALE"
"890","EHHADH","IVD"
"891","ECHS1","IVD"
"892","ECHS1","ACADM"
"893","ACAT1","AACS"
"894","ACAT1","HMGCS2"
"895","ADH1A","GSTO2"
"896","CYP1A2","GSTO2"
"897","ADH1A","GSTA5"
"898","ADH1A","GSTA2"
"899","ADH1A","GSTA3"
"900","ADH1A","GSTA4"
"901","ADH1A","GSTM1"
"902","ADH1A","GSTM2"
"903","ADH1A","GSTM3"
"904","ADH1A","GSTM4"
"905","ADH1A","GSTM5"
"906","ADH1A","GSTT1"
"907","ADH1A","GSTT2"
"908","ADH1A","MGST2"
"909","ADH1A","MGST3"
"910","ADH1A","GSTT2B"
"911","CYP8B1","AKR1D1"
"912","ASS1","ADSS1"
"913","ATIC","ADSS1"
"914","PNP","NMRK1"
"915","PNP","XDH"
"916","PNP","NNMT"
"917","NAMPT","NNMT"
"918","SIRT7","NNMT"
"919","PDE7B","ADSL"
"920","ASL","ADSL"
"921","CYP1A2","CYP2C19"
