"","aHCC-1","aHCC-2","aHCC-3","aHCC-4","aHCC-5","aHCC-6","aHCC-7","aHCC-8","aHCC-9","aHCC-10","aHCC-11","aHCC-12"
"ARID2",6.279948695,6.614438915,5.57890832,6.495634865,6.097250269,6.492006905,6.312743988,5.609936883,5.805221717,6.803214586,6.432204211,6.043111304
"ARID3B",7.137670655,9.00662177,9.731021944,7.749611842,7.248927652,6.473706147,6.930221227,7.178819524,7.426850438,8.012225794,6.679416897,7.050089052
"ARID4B",8.140622964,8.417291449,8.960486917,8.653323342,8.888206316,9.155178454,8.783621012,8.197136583,8.891572951,9.852047347,9.537046902,9.117169358
"ARIH2",9.520723888,9.993678351,9.524267939,10.17648229,9.143284207,9.19115547,10.14869241,9.210924301,9.458408719,9.756307156,9.322588064,10.22965838
"ARL15",5.724435754,5.967522139,5.844476634,5.537244408,5.309120255,6.02888852,5.761666076,5.47154141,5.696532874,5.426047602,5.73444422,5.885132464
"ARL6IP6",7.71277636,6.844656885,7.113208841,7.768699277,7.470469527,8.139689278,7.798133465,7.048510531,7.300071044,8.424948859,7.874240288,7.465223957
"ARMC1",9.433897623,9.315436818,8.677281248,8.598582849,7.735832233,7.711750543,8.243684929,7.758999922,7.872317294,8.152115762,8.32567683,7.907014607
"ARMC6",6.573898911,6.881233321,7.72294067,7.70676679,6.761861843,7.127626441,6.648612976,9.092905994,8.227139761,6.945569507,7.82088905,6.830931177
"ARPC1A",10.534434,10.27412986,9.99019087,11.22684502,10.2838953,10.91226497,11.64914198,10.43252824,10.38765228,10.83787404,10.46605413,10.55248522
"ARRDC4",5.706049124,7.701500135,6.794220714,5.83246817,6.753342182,6.713367522,6.736445955,7.833749184,6.907032298,6.596177219,7.224691967,6.710100554
"ARSJ",5.363032214,4.622277788,5.107332676,4.855170065,5.836190876,5.126284356,5.869535234,5.120527606,5.044875343,5.550228779,6.317821602,4.696689076
"ASAP2",6.572521499,6.385527245,6.181860825,6.566798595,6.241436478,5.967522139,6.695598884,5.641879952,5.808787735,7.292385986,5.703792215,5.739890525
"ASH1L",5.199537911,4.815722406,4.685230831,5.609125791,5.50488959,6.072602563,5.459624837,6.381658313,5.835396149,5.354718441,5.748633983,5.413552839
"ASL",9.542036154,9.489209471,11.30868207,7.741752014,8.853115955,8.395518253,9.335020415,8.66750384,9.38045763,7.187630499,8.381727908,7.940280139
"ASPA",4.69346586,6.171290152,4.814971373,4.58301011,5.843079606,4.789849566,6.491422809,7.01357882,6.69459403,5.004530457,4.712116289,5.289355639
"ASPH",6.401171217,5.696325331,5.745154308,5.532690787,5.674745806,5.170261106,5.702834504,5.981482276,5.099901209,5.960094086,5.556265604,5.348534622
"ASPM",8.945601975,7.36178891,5.581983838,8.296489794,5.343121774,9.18659025,8.639725196,5.736057207,7.032774042,7.582772511,10.18974755,7.941660514
"ASS1",12.4214782,12.5274452,13.69771022,12.39995413,11.85251169,12.11241606,14.00323717,12.81748548,13.47894268,9.262286944,11.00688298,12.78994632
"ASXL2",8.525540355,8.751937279,8.842905523,8.702645775,8.552261175,8.293881927,8.726620952,8.210478989,8.75779916,9.310005887,8.659171092,9.052477952
"ATAD2",9.425385234,6.646831015,6.433264638,9.472189413,5.916639789,9.765432323,8.607037044,6.464319938,8.093961329,7.625123281,8.594185053,8.015707595
"ATF2",6.757570312,6.115520354,6.203710602,6.715526187,6.172952259,6.575495487,6.526781174,6.519353102,6.62026048,6.583693533,6.970196198,6.596177219
"ATF5",10.59688469,12.68048571,12.48653467,11.57875916,12.36313095,9.523011287,12.45560136,13.12339608,11.70940783,8.520353646,12.64465502,13.05527583
"ATG12",10.02908094,10.73058639,10.18325484,9.615265969,10.08487693,9.794221262,10.16733978,10.09825926,10.03463387,9.951134804,9.916052632,10.5535261
"ATIC",11.14283199,10.31680803,10.33714272,12.60367393,10.85168131,11.17745842,10.93964101,10.79999163,10.99880057,11.09748121,10.87724733,10.6547996
"ATOH8",5.172954374,7.250003915,5.064056408,5.088788852,7.505097775,7.150641716,4.697275882,7.484997945,8.066602587,5.319525098,4.831957431,6.002424793
"ATP6AP1",11.63957687,11.65268146,11.9708252,12.1825887,11.45897433,11.57335318,11.55684142,10.824755,11.10204031,11.80746945,11.31899985,11.30264592
"ATP6V1C2",4.642970949,4.630170523,4.519805296,4.532578256,4.651155578,4.438178187,4.564104829,4.597038929,4.561428154,4.707415667,4.569358877,4.535444236
"ATP6V1F",11.13081598,10.99624612,11.49418533,11.74550163,11.41949993,11.40801525,11.58644237,10.68475181,10.30851592,11.44431273,10.89245766,10.68593302
"ATP6V1H",8.513837992,8.207627415,7.978199689,8.332160708,8.264822926,7.991741546,7.081745022,8.037011359,7.941660514,8.561388594,7.736587578,7.779410275
"AURKA",9.947222287,9.845217245,7.658761776,9.386853038,6.413303845,9.920448556,10.82351538,6.967691615,7.971512155,7.617317157,9.598137028,9.085786647
"AURKB",7.721019952,6.941950321,5.8500061,8.184055114,5.286633048,8.575547288,8.157119572,5.643247956,5.413228251,7.369412212,7.41670361,7.189322855
"AVL9",6.192018423,5.717330339,6.336607101,6.699078486,5.596092794,6.260792527,5.878459504,5.879903934,5.755773722,5.212674757,5.711055377,5.548082089
"AVPR1A",5.739654524,4.734240565,5.780224094,4.787637888,4.792715211,4.886017944,6.004028324,6.91441344,5.2176755,4.744532582,4.861174588,4.887661005
"AXIN1",7.173286692,9.061471035,7.941660514,8.088825586,7.832284176,8.859362083,8.38654776,8.07874971,8.210090648,8.779833118,8.621745924,8.675926559
