"","HDN-1","HDN-2","HDN-3","HDN-4","HDN-5","HDN-6","HDN-7","HDN-8","HDN-9","HDN-10","HDN-11"
"AQP1",5.194919022,5.395603184,5.749117788,5.564577996,5.037379,4.818843746,4.984215845,5.151113843,5.741093797,5.403889158,5.127479839
"AQP3",4.564194404,4.383497707,4.86501017,4.605266865,4.684166041,4.684297438,4.964218304,4.734524685,5.24701185,5.147593043,4.454942088
"ARF1",11.3483191,11.07706695,11.48850755,11.46264286,11.02579147,11.37480853,11.3483191,11.39010548,11.63806602,11.61658006,11.28806027
"ARHGAP10",6.399111076,5.34763201,7.830431397,6.185738049,7.550749085,7.858128735,7.098984174,8.198705653,7.427262442,7.804140477,7.18695558
"ARHGAP11A",4.980852941,5.015653443,5.248658682,5.137908693,5.285773992,5.500884485,4.976464494,5.03977752,5.363032214,5.462726505,4.989262854
"ARHGAP19",7.127626441,7.269022299,6.858731712,6.951478086,6.780648953,6.890251068,7.372075133,6.777640231,6.86405406,7.088289705,6.952711982
"ARHGEF11",6.301675216,5.88855023,5.926654198,6.595213407,6.179103963,6.424055255,6.188088069,5.976541122,6.388577616,6.521105776,6.240065738
"ARHGEF26",5.045470328,4.881463681,5.413384326,4.703985337,5.367217822,5.682112076,4.922281782,5.40440775,5.068427276,4.990429055,5.213735105
"ARID1A",9.014859552,9.250881477,8.80128757,9.591288442,9.024297008,9.094560023,9.067023685,9.086820027,9.328898379,8.577724038,8.765310767
"ARID1B",6.82018393,7.324854771,6.78220158,7.300071044,7.470469527,7.173592977,7.576634323,7.399147806,7.194841317,7.812500176,7.144075852
"ARID2",5.748173073,5.983249168,5.669325476,5.755956061,5.814465293,5.887296202,5.975504432,5.726896936,5.692013801,5.629564633,5.701490862
"ARID3B",9.594902293,6.782869027,6.342183576,6.784747432,6.534878672,10.45917191,8.845344758,7.631459991,8.337120818,7.601861805,7.072802139
"ARID4B",8.767782295,8.628191926,8.28576314,8.694060161,8.506321705,8.1756925,8.511343138,8.462076855,8.683939853,9.138357081,8.459509639
"ARIH2",8.997411082,9.263267297,8.85511345,9.659212151,9.123686693,9.48082796,9.364340565,9.241931621,9.021667709,9.897295253,9.418494586
"ARL15",5.338674054,5.422804629,5.564958019,5.436078186,5.74538241,5.575259914,5.592921369,5.298572825,5.7598815,5.881232116,5.582608223
"ARL6IP6",6.904295638,6.852596808,6.600918139,7.950761621,6.430298791,6.912337939,6.857208748,7.312359087,7.204237161,6.586651216,7.013254925
"ARMC1",8.23178965,8.536869759,8.243261861,8.509961702,8.543347244,8.357967907,8.392765331,8.290880069,7.948895546,8.545603188,8.580667692
