"","from","to"
"747","TP53","ELAVL1"
"748","CCND1","ELAVL1"
"749","ELK1","ELAVL1"
"750","PRKAA2","ELAVL1"
"751","PRKAG2","ELAVL1"
"752","PRKAB1","ELAVL1"
"753","PRKAB2","ELAVL1"
"754","PRKAG1","ELAVL1"
"755","PRKAG2","ADRA1A"
"756","CYP1A2","FOS"
"757","SIRT7","FOS"
"758","GSTM4","FOS"
"759","GSTP1","FOS"
"760","SOS2","FOS"
"761","SHC4","FOS"
"762","SHC3","FOS"
"763","SHC1","FOS"
"764","PRKCA","FOS"
"765","PRKCB","FOS"
"766","PRKCG","FOS"
"767","BRAF","FOS"
"768","HRAS","FOS"
"769","KRAS","FOS"
"770","NRAS","FOS"
"771","BCL2L1","FOS"
"772","MAPK10","FOS"
"773","TP53","FOS"
"774","CDKN1A","FOS"
"775","CCND1","FOS"
"776","CDK4","FOS"
"777","RB1","FOS"
"778","MAPK1","FOS"
"779","MAPK3","FOS"
"780","PPP2R5A","FOS"
"781","ELK4","FOS"
"782","ELK1","FOS"
"783","GADD45B","FOS"
"784","TGFB1","FOS"
"785","TGFBR2","FOS"
"786","SMAD4","FOS"
"787","ROCK2","FOS"
"788","YWHAG","FOS"
"789","HDAC1","FOS"
"790","HDAC2","FOS"
"791","ANAPC5","FOS"
"792","IGFBP3","FOS"
"793","NEDD4L","FOS"
"794","RILP","FOS"
"795","DYNC1I2","FOS"
"796","WNT1","FOS"
"797","WNT10B","FOS"
"798","WNT11","FOS"
"799","WNT2B","FOS"
"800","DVL2","FOS"
"801","HSP90AB1","FOS"
"802","TLR4","FOS"
"803","ADRA1A","FOS"
"804","SDHD","MYC"
"805","TKT","MYC"
"806","TALDO1","MYC"
"807","ACAT1","MYC"
"808","ASS1","MYC"
"809","PNP","MYC"
"810","PDE7A","MYC"
"811","CAD","MYC"
"812","DTYMK","MYC"
"813","TYMS","MYC"
"814","DUT","MYC"
"815","GLS2","MYC"
"816","SHMT1","MYC"
"817","MAT1A","MYC"
"818","PCCA","MYC"
"819","SRM","MYC"
"820","AMDHD1","MYC"
"821","ALDH6A1","MYC"
"822","MTR","MYC"
"823","B4GALT3","MYC"
"824","UGDH","MYC"
"825","AKR1B10","MYC"
"826","PIP4K2B","MYC"
"827","LPCAT1","MYC"
"828","LTA4H","MYC"
"829","MTHFD1","MYC"
"830","MTHFD1L","MYC"
"831","RETSAT","MYC"
"832","GSTA4","MYC"
"833","GSTP1","MYC"
"834","MGST1","MYC"
"835","MGST3","MYC"
"836","GSTO1","MYC"
"837","IMPDH2","MYC"
"838","MTOR","MYC"
"839","SOS1","MYC"
"840","SOS2","MYC"
"841","MAP2K1","MYC"
"842","RAF1","MYC"
"843","HRAS","MYC"
"844","KRAS","MYC"
"845","NRAS","MYC"
"846","BCL2L1","MYC"
"847","TP53","MYC"
"848","CDKN2A","MYC"
"849","CDKN2C","MYC"
"850","CDKN1A","MYC"
"851","CCND1","MYC"
"852","CDK4","MYC"
"853","RB1","MYC"
"854","IGF1R","MYC"
"855","MAPK1","MYC"
"856","MAPK3","MYC"
"857","UPF2","MYC"
"858","SMG7","MYC"
"859","HGS","MYC"
"860","RAN","MYC"
"861","BRCA2","MYC"
"862","FANCD2","MYC"
"863","FANCF","MYC"
"864","DUSP1","MYC"
"865","DUSP6","MYC"
"866","ELK1","MYC"
"867","GADD45B","MYC"
"868","TGFB1","MYC"
"869","TGFB2","MYC"
"870","TGFB3","MYC"
"871","FGFR4","MYC"
"872","MET","MYC"
"873","RALGAPB","MYC"
"874","HOMER2","MYC"
"875","HOMER1","MYC"
"876","TGFBR1","MYC"
"877","SMAD4","MYC"
"878","TSC2","MYC"
"879","RHEB","MYC"
"880","CDK1","MYC"
"881","PCNA","MYC"
"882","PLK1","MYC"
"883","PRKDC","MYC"
"884","CDC25B","MYC"
"885","CDC25C","MYC"
"886","CDC6","MYC"
"887","GSK3B","MYC"
"888","CCNB1","MYC"
"889","CCNA2","MYC"
"890","E2F4","MYC"
"891","E2F5","MYC"
"892","E2F1","MYC"
"893","E2F2","MYC"
"894","HDAC2","MYC"
"895","ANAPC5","MYC"
"896","ANAPC7","MYC"
"897","VPS45","MYC"
"898","WNT3","MYC"
"899","WNT10B","MYC"
"900","WNT2B","MYC"
"901","WNT10A","MYC"
"902","FZD7","MYC"
"903","FZD9","MYC"
"904","DVL1","MYC"
"905","DVL2","MYC"
"906","HSP90AA1","MYC"
"907","HSP90AB1","MYC"
"908","PRKAG2","MYC"
"909","FOS","MYC"
"910","CCND1","CDK6"
"911","RB1","CDK6"
"912","E2F1","CDK6"
"913","MYC","CDK6"
"914","TP53","CCNE1"
"915","CDKN1A","CCNE1"
"916","RB1","CCNE1"
"917","BRCA2","CCNE1"
"918","E2F1","CCNE1"
"919","E2F2","CCNE1"
"920","E2F3","CCNE1"
"921","HDAC2","CCNE1"
"922","MYC","CCNE1"
"923","MYC","RAD1"
"924","MAP2K1","PRKCD"
"925","ARAF","PRKCD"
"926","PIK3CA","PRKCD"
"927","PIK3CB","PRKCD"
"928","PIK3CD","PRKCD"
"929","PIK3R1","PRKCD"
"930","PIK3R2","PRKCD"
"931","PIK3R3","PRKCD"
"932","MAPK1","PRKCD"
"933","PLCG1","PRKCD"
"934","PLCG2","PRKCD"
"935","GSTM4","TLE1"
"936","CDKN2C","TLE1"
"937","CDK1","TLE1"
"938","CCND1","LEF1"
"939","SMAD4","LEF1"
"940","WNT1","LEF1"
