"","ENSEMBL","SYMBOL","ENTREZID"
"474","ENSG00000028528","SNX1","6642"
"475","ENSG00000028839","TBPL1","9519"
"476","ENSG00000029153","BMAL2","56938"
"477","ENSG00000029363","BCLAF1","9774"
"478","ENSG00000029364","SLC39A9","55334"
"479","ENSG00000029534","ANK1","286"
"480","ENSG00000029559","IBSP","3381"
"481","ENSG00000029639","TFB1M","51106"
"482","ENSG00000029725","RABEP1","9135"
"483","ENSG00000029993","HMGB3","3149"
"484","ENSG00000030066","NUP160","23279"
"485","ENSG00000030110","BAK1","578"
"486","ENSG00000030304","MUSK","4593"
"487","ENSG00000030419","IKZF2","22807"
"488","ENSG00000030582","GRN","2896"
"489","ENSG00000031003","FAM13B","51306"
"490","ENSG00000031081","ARHGAP31","57514"
"491","ENSG00000031691","CENPQ","55166"
"492","ENSG00000031698","SARS1","6301"
"493","ENSG00000031823","RANBP3","8498"
"494","ENSG00000032219","ARID4A","5926"
"495","ENSG00000032389","EIPR1","7260"
"496","ENSG00000032444","PNPLA6","10908"
"497","ENSG00000032742","IFT88","8100"
"498","ENSG00000033011","ALG1","56052"
"499","ENSG00000033030","ZCCHC8","55596"
"500","ENSG00000033050","ABCF2","10061"
"501","ENSG00000033100","CHPF2","54480"
"502","ENSG00000033122","LRRC7","57554"
"503","ENSG00000033170","FUT8","2530"
"504","ENSG00000033178","UBA6","55236"
"505","ENSG00000033327","GAB2","9846"
"506","ENSG00000033627","ATP6V0A1","535"
"507","ENSG00000033800","PIAS1","8554"
"508","ENSG00000033867","SLC4A7","9497"
"509","ENSG00000034053","APBA2","321"
"510","ENSG00000034152","MAP2K3","5606"
"511","ENSG00000034239","CLXN","79645"
"512","ENSG00000034510","TMSB10","9168"
"513","ENSG00000034533","ASTE1","28990"
"514","ENSG00000034677","RNF19A","25897"
"515","ENSG00000034693","PEX3","8504"
"516","ENSG00000034713","GABARAPL2","11345"
"517","ENSG00000034971","MYOC","4653"
"518","ENSG00000035115","SH3YL1","26751"
"519","ENSG00000035141","FAM136A","84908"
"520","ENSG00000035403","VCL","7414"
"521","ENSG00000035499","DEPDC1B","55789"
"522","ENSG00000035664","DAPK2","23604"
"523","ENSG00000035681","NSMAF","8439"
"524","ENSG00000035687","ADSS2","159"
"525","ENSG00000035720","STAP1","26228"
"526","ENSG00000035862","TIMP2","7077"
"527","ENSG00000035928","RFC1","5981"
"528","ENSG00000036054","TBC1D23","55773"
"529","ENSG00000036257","CUL3","8452"
"530","ENSG00000036448","MYOM2","9172"
"531","ENSG00000036473","OTC","5009"
"532","ENSG00000036530","CYP46A1","10858"
"533","ENSG00000036549","ZZZ3","26009"
"534","ENSG00000036565","SLC18A1","6570"
"535","ENSG00000036672","USP2","9099"
"536","ENSG00000036828","CASR","846"
"537","ENSG00000037042","TUBG2","27175"
"538","ENSG00000037241","RPL26L1","51121"
"539","ENSG00000037280","FLT4","2324"
"540","ENSG00000037474","NSUN2","54888"
"541","ENSG00000037637","FBXO42","54455"
"542","ENSG00000037749","MFAP3","4238"
"543","ENSG00000037757","MRI1","84245"
"544","ENSG00000037897","METTL1","4234"
"545","ENSG00000037965","HOXC8","3224"
"546","ENSG00000038002","AGA","175"
"547","ENSG00000038210","PI4K2B","55300"
"548","ENSG00000038219","BOD1L1","259282"
"549","ENSG00000038274","MAT2B","27430"
"550","ENSG00000038295","TLL1","7092"
"551","ENSG00000038358","EDC4","23644"
"552","ENSG00000038382","TRIO","7204"
"553","ENSG00000038427","VCAN","1462"
"554","ENSG00000038532","CLEC16A","23274"
"555","ENSG00000038945","MSR1","4481"
"556","ENSG00000039068","CDH1","999"
"557","ENSG00000039123","MTREX","23517"
"558","ENSG00000039139","DNAH5","1767"
"559","ENSG00000039319","ZFYVE16","9765"
"560","ENSG00000039523","RIPOR1","79567"
"561","ENSG00000039537","C6","729"
"562","ENSG00000039560","RAI14","26064"
"563","ENSG00000039600","SOX30","11063"
"564","ENSG00000039650","PNKP","11284"
"565","ENSG00000039987","BEST2","54831"
"566","ENSG00000040199","PHLPP2","23035"
"567","ENSG00000040275","SPDL1","54908"
"568","ENSG00000040341","STAU2","27067"
"569","ENSG00000040487","SLC66A1","54896"
"570","ENSG00000040531","CTNS","1497"
"571","ENSG00000040608","RTN4R","65078"
"572","ENSG00000040633","PHF23","79142"
"573","ENSG00000040731","CDH10","1008"
"574","ENSG00000040933","INPP4A","3631"
"575","ENSG00000041353","RAB27B","5874"
"576","ENSG00000041357","PSMA4","5685"
"577","ENSG00000041515","MYO16","23026"
"578","ENSG00000041802","LSG1","55341"
"579","ENSG00000041880","PARP3","10039"
"580","ENSG00000041982","TNC","3371"
"581","ENSG00000041988","THAP3","90326"
"582","ENSG00000042062","RIPOR3","140876"
"583","ENSG00000042088","TDP1","55775"
"584","ENSG00000042286","AIFM2","84883"
"585","ENSG00000042304","C2orf83","56918"
"586","ENSG00000042317","SPATA7","55812"
"587","ENSG00000042429","MED17","9440"
"588","ENSG00000042445","RETSAT","54884"
"589","ENSG00000042493","CAPG","822"
"590","ENSG00000042753","AP2S1","1175"
"591","ENSG00000042781","USH2A","7399"
